from,to,asim_likelihood,edge_exists_original,edge_exists_modified,seal_likelihood,dataset,modification
0,1002,0.058255944,0.0,0.0,0.5258,dancer_01,base
0,1004,0.04016582,1.0,0.0,0.5195,dancer_01,base
0,1007,1.0418082e-05,1.0,0.0,0.4799,dancer_01,base
0,102,0.04867749,1.0,0.0,0.5235,dancer_01,base
0,1028,0.0035637822,0.0,0.0,0.3446,dancer_01,base
0,1036,0.00016810832,0.0,0.0,0.3645,dancer_01,base
0,106,0.010049156,1.0,0.0,0.5222,dancer_01,base
0,1060,0.32346392,0.0,0.0,0.5291,dancer_01,base
0,1072,0.092935875,0.0,0.0,0.4691,dancer_01,base
0,11,6.416571e-05,1.0,0.0,0.5435,dancer_01,base
0,110,0.16455598,0.0,0.0,0.5386,dancer_01,base
0,1111,9.5262636e-05,0.0,0.0,0.4809,dancer_01,base
0,1115,0.0034231904,0.0,0.0,0.4823,dancer_01,base
0,113,0.0026917986,0.0,0.0,0.5247,dancer_01,base
0,114,0.00113732,0.0,0.0,0.3698,dancer_01,base
0,1163,0.13883345,0.0,0.0,0.5394,dancer_01,base
0,1282,0.00632311,0.0,0.0,0.3446,dancer_01,base
0,1283,0.0050375303,0.0,0.0,0.3446,dancer_01,base
0,1284,2.9133157e-06,0.0,0.0,0.4659,dancer_01,base
0,1287,0.55400115,0.0,0.0,0.3385,dancer_01,base
0,1289,0.033320308,0.0,0.0,0.5318,dancer_01,base
0,1291,0.32622427,0.0,0.0,0.196,dancer_01,base
0,1292,0.008322407,1.0,0.0,0.5221,dancer_01,base
0,1298,0.39928898,0.0,0.0,0.5334,dancer_01,base
0,1299,0.44544595,0.0,0.0,0.5378,dancer_01,base
0,1301,0.0141057335,0.0,0.0,0.376,dancer_01,base
0,1303,0.00012952865,0.0,0.0,0.5369,dancer_01,base
0,1305,0.0033887718,0.0,0.0,0.4711,dancer_01,base
0,131,0.5917407,0.0,0.0,0.5393,dancer_01,base
0,1316,0.0018899534,1.0,0.0,0.5308,dancer_01,base
0,1519,0.16876028,0.0,0.0,0.5215,dancer_01,base
0,1522,0.0036010854,0.0,0.0,0.2828,dancer_01,base
0,1526,0.032276407,0.0,0.0,0.5311,dancer_01,base
0,1527,0.0026995402,0.0,0.0,0.5249,dancer_01,base
0,1530,0.00041265626,0.0,0.0,0.5333,dancer_01,base
0,1536,0.039874204,0.0,0.0,0.196,dancer_01,base
0,1538,7.949527e-05,0.0,0.0,0.5314,dancer_01,base
0,1547,0.032489292,0.0,0.0,0.485,dancer_01,base
0,1548,0.14045969,0.0,0.0,0.3409,dancer_01,base
0,1549,0.00060139067,0.0,0.0,0.4823,dancer_01,base
0,159,0.48867923,1.0,0.0,0.5216,dancer_01,base
0,161,0.06907255,0.0,0.0,0.2828,dancer_01,base
0,17,0.33604667,1.0,0.0,0.5304,dancer_01,base
0,180,3.507864e-05,0.0,0.0,0.3385,dancer_01,base
0,186,0.00078473624,0.0,0.0,0.5361,dancer_01,base
0,188,0.02742259,1.0,0.0,0.5386,dancer_01,base
0,19,0.043865923,1.0,0.0,0.5287,dancer_01,base
0,198,0.0031861088,0.0,0.0,0.3277,dancer_01,base
0,211,0.004392962,0.0,0.0,0.2828,dancer_01,base
0,218,0.54142344,0.0,0.0,0.5228,dancer_01,base
0,219,0.076462045,0.0,0.0,0.3277,dancer_01,base
0,224,0.011167642,0.0,0.0,0.2828,dancer_01,base
0,250,0.00024579305,0.0,0.0,0.4719,dancer_01,base
0,254,1.3958952e-05,0.0,0.0,0.3277,dancer_01,base
0,262,0.002497861,0.0,0.0,0.5236,dancer_01,base
0,271,0.6498701,0.0,0.0,0.4823,dancer_01,base
0,275,0.0063407603,0.0,0.0,0.5243,dancer_01,base
0,279,0.007643233,1.0,0.0,0.3277,dancer_01,base
0,284,0.5122187,0.0,0.0,0.3688,dancer_01,base
0,289,1.4909674e-05,0.0,0.0,0.5282,dancer_01,base
0,300,0.48950136,0.0,0.0,0.4823,dancer_01,base
0,304,0.98755115,1.0,1.0,0.538,dancer_01,base
0,314,0.0360295,0.0,0.0,0.5234,dancer_01,base
0,316,0.00010882985,0.0,0.0,0.3277,dancer_01,base
0,320,0.00025440054,0.0,0.0,0.3646,dancer_01,base
0,328,0.2873906,0.0,0.0,0.5222,dancer_01,base
0,34,0.9985555,1.0,1.0,0.5232,dancer_01,base
0,340,0.029735746,0.0,0.0,0.3821,dancer_01,base
0,342,4.04976e-05,0.0,0.0,0.3277,dancer_01,base
0,344,0.0034739543,0.0,0.0,0.5256,dancer_01,base
0,363,0.06013979,0.0,0.0,0.376,dancer_01,base
0,377,0.005061117,0.0,0.0,0.4704,dancer_01,base
0,384,0.23063982,0.0,0.0,0.5225,dancer_01,base
0,39,1.8219393e-05,0.0,0.0,0.2828,dancer_01,base
0,392,0.06929484,0.0,0.0,0.376,dancer_01,base
0,40,0.06323561,0.0,0.0,0.5236,dancer_01,base
0,445,0.11505365,0.0,0.0,0.376,dancer_01,base
0,452,0.0008018295,0.0,0.0,0.542,dancer_01,base
0,453,0.0009398051,0.0,0.0,0.5326,dancer_01,base
0,472,0.018256346,0.0,0.0,0.374,dancer_01,base
0,485,1.3021302e-05,0.0,0.0,0.3446,dancer_01,base
0,491,0.0008792668,0.0,0.0,0.4719,dancer_01,base
0,498,0.0029729598,0.0,0.0,0.196,dancer_01,base
0,501,0.0018461049,0.0,0.0,0.3698,dancer_01,base
0,507,0.0031399704,0.0,0.0,0.5228,dancer_01,base
0,520,0.013468643,0.0,0.0,0.4691,dancer_01,base
0,523,0.10526469,0.0,0.0,0.196,dancer_01,base
0,536,0.095004916,0.0,0.0,0.5256,dancer_01,base
0,55,7.581658e-05,0.0,0.0,0.4823,dancer_01,base
0,559,0.084924534,0.0,0.0,0.3446,dancer_01,base
0,560,0.017821083,0.0,0.0,0.5429,dancer_01,base
0,564,1.3875481e-05,0.0,0.0,0.3277,dancer_01,base
0,568,0.0006086735,0.0,0.0,0.3446,dancer_01,base
0,582,0.49142057,0.0,0.0,0.5368,dancer_01,base
0,583,8.5474705e-05,0.0,0.0,0.3277,dancer_01,base
0,613,0.0004456702,0.0,0.0,0.5317,dancer_01,base
0,617,0.0010643658,1.0,0.0,0.3446,dancer_01,base
0,626,0.3292573,0.0,0.0,0.5254,dancer_01,base
0,628,2.3882455e-06,0.0,0.0,0.2828,dancer_01,base
0,639,0.009918505,1.0,0.0,0.5244,dancer_01,base
0,648,0.0010345781,0.0,0.0,0.4711,dancer_01,base
0,649,5.5944856e-05,0.0,0.0,0.3645,dancer_01,base
0,657,0.0014709949,0.0,0.0,0.4794,dancer_01,base
0,666,0.0017201541,0.0,0.0,0.5306,dancer_01,base
0,685,0.0012311109,0.0,0.0,0.3677,dancer_01,base
0,692,0.00038263484,0.0,0.0,0.5294,dancer_01,base
0,694,3.8963535e-05,0.0,0.0,0.3385,dancer_01,base
0,7,0.47412005,1.0,0.0,0.5338,dancer_01,base
0,706,0.43040654,0.0,0.0,0.5278,dancer_01,base
0,707,0.00034585208,0.0,0.0,0.5301,dancer_01,base
0,712,0.001288102,0.0,0.0,0.5435,dancer_01,base
0,722,0.12761109,1.0,0.0,0.5239,dancer_01,base
0,75,0.03341994,1.0,0.0,0.523,dancer_01,base
0,764,0.00060441927,0.0,0.0,0.2828,dancer_01,base
0,771,0.14566487,0.0,0.0,0.5223,dancer_01,base
0,801,0.0877224,0.0,0.0,0.5005,dancer_01,base
0,803,0.0059204963,0.0,0.0,0.2965,dancer_01,base
0,811,0.040599328,1.0,0.0,0.5219,dancer_01,base
0,817,0.023082133,0.0,0.0,0.5249,dancer_01,base
0,822,0.0071522365,0.0,0.0,0.2828,dancer_01,base
0,842,0.0001418439,0.0,0.0,0.4659,dancer_01,base
0,869,0.0022437111,0.0,0.0,0.4823,dancer_01,base
0,881,0.010886132,0.0,0.0,0.5361,dancer_01,base
0,898,1.7174514e-05,0.0,0.0,0.5234,dancer_01,base
0,9,0.00018113999,0.0,0.0,0.5246,dancer_01,base
0,903,9.0444524e-07,1.0,0.0,0.4827,dancer_01,base
0,912,0.0014264216,0.0,0.0,0.3277,dancer_01,base
0,955,6.502445e-05,0.0,0.0,0.5404,dancer_01,base
0,967,0.009530746,1.0,0.0,0.196,dancer_01,base
0,97,0.0029594346,0.0,0.0,0.5243,dancer_01,base
0,976,0.006541663,0.0,0.0,0.5533,dancer_01,base
1002,1004,0.012631091,1.0,0.0,0.9898,dancer_01,base
1002,1007,0.00044412693,1.0,0.0,0.9902,dancer_01,base
102,1002,0.1453496,0.0,0.0,0.9753,dancer_01,base
1002,1028,4.138545e-05,0.0,0.0,0.9741,dancer_01,base
1002,1036,0.011449772,0.0,0.0,0.9912,dancer_01,base
106,1002,0.09853917,0.0,0.0,0.5258,dancer_01,base
1002,1060,0.00018078195,0.0,0.0,0.9914,dancer_01,base
1002,1072,5.565984e-05,0.0,0.0,0.9864,dancer_01,base
11,1002,0.086645424,0.0,0.0,0.5258,dancer_01,base
110,1002,0.0008505697,0.0,0.0,0.9871,dancer_01,base
1002,1111,9.806907e-07,0.0,0.0,0.9783,dancer_01,base
1002,1115,0.00016544048,0.0,0.0,0.9858,dancer_01,base
113,1002,0.0070444336,0.0,0.0,0.5258,dancer_01,base
114,1002,0.00040962116,0.0,0.0,0.5258,dancer_01,base
1002,1163,0.5636081,0.0,0.0,0.9909,dancer_01,base
1002,1282,0.42368436,0.0,0.0,0.53,dancer_01,base
1002,1283,0.0037970846,0.0,0.0,0.5286,dancer_01,base
1002,1284,9.896617e-05,0.0,0.0,0.989,dancer_01,base
1002,1287,0.004344993,0.0,0.0,0.987,dancer_01,base
1002,1289,0.04218828,0.0,0.0,0.9863,dancer_01,base
1002,1291,0.00035120215,0.0,0.0,0.5286,dancer_01,base
1002,1292,0.0020566639,0.0,0.0,0.99,dancer_01,base
1002,1298,0.0007854013,0.0,0.0,0.9745,dancer_01,base
1002,1299,0.00060967647,0.0,0.0,0.9915,dancer_01,base
1002,1301,0.00023037776,0.0,0.0,0.992,dancer_01,base
1002,1303,0.0021450326,0.0,0.0,0.9911,dancer_01,base
1002,1305,0.0073888227,0.0,0.0,0.9901,dancer_01,base
131,1002,0.00021603674,0.0,0.0,0.9914,dancer_01,base
1002,1316,0.0020575577,1.0,0.0,0.9913,dancer_01,base
1002,1519,0.9950655,1.0,1.0,0.9902,dancer_01,base
1002,1522,0.00058759283,0.0,0.0,0.5286,dancer_01,base
1002,1526,0.00071031426,0.0,0.0,0.9882,dancer_01,base
1002,1527,0.53201187,0.0,0.0,0.9909,dancer_01,base
1002,1530,0.0014203705,1.0,0.0,0.9917,dancer_01,base
1002,1536,0.02012561,0.0,0.0,0.5286,dancer_01,base
1002,1538,0.0015927835,0.0,0.0,0.9908,dancer_01,base
1002,1547,3.1971551e-06,0.0,0.0,0.9809,dancer_01,base
1002,1548,0.000168222,0.0,0.0,0.9567,dancer_01,base
1002,1549,8.873891e-05,0.0,0.0,0.9858,dancer_01,base
159,1002,0.3966304,1.0,1.0,0.99,dancer_01,base
161,1002,0.108088195,0.0,0.0,0.5258,dancer_01,base
17,1002,0.0072997953,0.0,0.0,0.9914,dancer_01,base
180,1002,0.0018088467,0.0,0.0,0.9829,dancer_01,base
186,1002,0.0033911252,0.0,0.0,0.5258,dancer_01,base
188,1002,0.03773577,0.0,0.0,0.5258,dancer_01,base
19,1002,6.49224e-05,1.0,0.0,0.5258,dancer_01,base
198,1002,0.0006700174,0.0,0.0,0.9597,dancer_01,base
211,1002,0.00060452294,0.0,0.0,0.5258,dancer_01,base
218,1002,0.0208018,1.0,0.0,0.9913,dancer_01,base
219,1002,0.08636832,0.0,0.0,0.5258,dancer_01,base
224,1002,0.0010704476,0.0,0.0,0.5258,dancer_01,base
250,1002,1.236279e-05,0.0,0.0,0.9809,dancer_01,base
254,1002,0.0032500143,0.0,0.0,0.5258,dancer_01,base
262,1002,0.13588266,1.0,0.0,0.9892,dancer_01,base
271,1002,0.0020400262,0.0,0.0,0.5258,dancer_01,base
275,1002,0.005480423,1.0,0.0,0.9804,dancer_01,base
279,1002,0.000113968825,1.0,0.0,0.973,dancer_01,base
284,1002,0.00012229581,0.0,0.0,0.5258,dancer_01,base
289,1002,0.0013471787,0.0,0.0,0.9916,dancer_01,base
300,1002,0.00026434445,0.0,0.0,0.5258,dancer_01,base
304,1002,0.0008941295,0.0,0.0,0.9912,dancer_01,base
314,1002,0.11178501,0.0,0.0,0.9876,dancer_01,base
316,1002,0.00917331,0.0,0.0,0.9645,dancer_01,base
320,1002,5.9763834e-06,0.0,0.0,0.9897,dancer_01,base
328,1002,0.08363767,0.0,0.0,0.9907,dancer_01,base
34,1002,0.1623244,1.0,0.0,0.9889,dancer_01,base
340,1002,0.028630959,0.0,0.0,0.9853,dancer_01,base
342,1002,0.041965257,0.0,0.0,0.9716,dancer_01,base
344,1002,0.0012627755,0.0,0.0,0.9915,dancer_01,base
