"paper","label","numeric"
31336,"Neural_Networks",1
1061127,"Rule_Learning",2
1106406,"Reinforcement_Learning",3
13195,"Reinforcement_Learning",3
37879,"Probabilistic_Methods",4
1126012,"Probabilistic_Methods",4
1107140,"Theory",5
1102850,"Neural_Networks",1
31349,"Neural_Networks",1
1106418,"Theory",5
1123188,"Neural_Networks",1
1128990,"Genetic_Algorithms",6
109323,"Probabilistic_Methods",4
217139,"Case_Based",7
31353,"Neural_Networks",1
32083,"Neural_Networks",1
1126029,"Reinforcement_Learning",3
1118017,"Neural_Networks",1
49482,"Neural_Networks",1
753265,"Neural_Networks",1
249858,"Theory",5
1113739,"Reinforcement_Learning",3
48766,"Genetic_Algorithms",6
646195,"Probabilistic_Methods",4
1126050,"Reinforcement_Learning",3
59626,"Theory",5
340299,"Neural_Networks",1
354004,"Probabilistic_Methods",4
242637,"Neural_Networks",1
1106492,"Rule_Learning",2
74975,"Case_Based",7
1152272,"Neural_Networks",1
100701,"Case_Based",7
66982,"Neural_Networks",1
13960,"Reinforcement_Learning",3
13966,"Reinforcement_Learning",3
66990,"Neural_Networks",1
182093,"Reinforcement_Learning",3
182094,"Genetic_Algorithms",6
13972,"Reinforcement_Learning",3
13982,"Theory",5
16819,"Probabilistic_Methods",4
273152,"Genetic_Algorithms",6
237521,"Neural_Networks",1
1153703,"Case_Based",7
32872,"Reinforcement_Learning",3
284025,"Neural_Networks",1
218666,"Case_Based",7
16843,"Probabilistic_Methods",4
1153724,"Case_Based",7
1153728,"Case_Based",7
158098,"Probabilistic_Methods",4
8699,"Theory",5
1134865,"Genetic_Algorithms",6
28456,"Theory",5
248425,"Genetic_Algorithms",6
1112319,"Theory",5
28471,"Reinforcement_Learning",3
175548,"Neural_Networks",1
696345,"Neural_Networks",1
28485,"Reinforcement_Learning",3
1139195,"Case_Based",7
35778,"Probabilistic_Methods",4
28491,"Reinforcement_Learning",3
310530,"Case_Based",7
1153784,"Genetic_Algorithms",6
1481,"Case_Based",7
1153786,"Probabilistic_Methods",4
13212,"Neural_Networks",1
1111614,"Case_Based",7
5055,"Theory",5
4329,"Probabilistic_Methods",4
330148,"Neural_Networks",1
1105062,"Reinforcement_Learning",3
4330,"Probabilistic_Methods",4
5062,"Case_Based",7
4335,"Probabilistic_Methods",4
158812,"Neural_Networks",1
40124,"Theory",5
1103610,"Theory",5
688361,"Neural_Networks",1
302545,"Probabilistic_Methods",4
20534,"Reinforcement_Learning",3
1031453,"Neural_Networks",1
5086,"Probabilistic_Methods",4
193742,"Reinforcement_Learning",3
58268,"Rule_Learning",2
424,"Rule_Learning",2
40151,"Theory",5
636098,"Theory",5
260121,"Neural_Networks",1
950052,"Neural_Networks",1
434,"Reinforcement_Learning",3
1131270,"Probabilistic_Methods",4
1131274,"Probabilistic_Methods",4
1131277,"Probabilistic_Methods",4
1110947,"Case_Based",7
662279,"Neural_Networks",1
1139928,"Theory",5
153063,"Probabilistic_Methods",4
134199,"Genetic_Algorithms",6
641956,"Neural_Networks",1
20584,"Neural_Networks",1
1130567,"Reinforcement_Learning",3
171225,"Neural_Networks",1
714879,"Probabilistic_Methods",4
37998,"Rule_Learning",2
50336,"Probabilistic_Methods",4
50337,"Probabilistic_Methods",4
15429,"Theory",5
23448,"Neural_Networks",1
1122574,"Neural_Networks",1
1110998,"Neural_Networks",1
853150,"Neural_Networks",1
15431,"Theory",5
646286,"Probabilistic_Methods",4
1152307,"Case_Based",7
1115291,"Probabilistic_Methods",4
1106547,"Reinforcement_Learning",3
68463,"Rule_Learning",2
59715,"Genetic_Algorithms",6
69198,"Neural_Networks",1
7272,"Neural_Networks",1
163235,"Neural_Networks",1
7276,"Neural_Networks",1
34315,"Neural_Networks",1
644843,"Probabilistic_Methods",4
7297,"Neural_Networks",1
628815,"Reinforcement_Learning",3
35061,"Genetic_Algorithms",6
68495,"Theory",5
1136310,"Probabilistic_Methods",4
18313,"Reinforcement_Learning",3
34355,"Neural_Networks",1
45212,"Neural_Networks",1
1153091,"Rule_Learning",2
8703,"Rule_Learning",2
126920,"Probabilistic_Methods",4
126927,"Probabilistic_Methods",4
595157,"Genetic_Algorithms",6
140005,"Theory",5
1117476,"Genetic_Algorithms",6
59798,"Neural_Networks",1
219446,"Neural_Networks",1
44514,"Neural_Networks",1
287787,"Genetic_Algorithms",6
157401,"Neural_Networks",1
1154500,"Case_Based",7
682666,"Reinforcement_Learning",3
399173,"Case_Based",7
198866,"Case_Based",7
51834,"Theory",5
200630,"Neural_Networks",1
782486,"Neural_Networks",1
1136393,"Neural_Networks",1
137849,"Probabilistic_Methods",4
1153811,"Rule_Learning",2
24966,"Theory",5
11148,"Rule_Learning",2
51866,"Theory",5
24974,"Neural_Networks",1
137868,"Probabilistic_Methods",4
28542,"Reinforcement_Learning",3
35,"Genetic_Algorithms",6
116021,"Theory",5
348305,"Rule_Learning",2
