dataset,modification,percentage,method,metric,value
Dancer 01,random asc,0.0,Louvain-igraph,P,9.0
Dancer 01,random asc,0.0,Louvain-igraph,P*/P,0.6666666666666666
Dancer 01,random asc,0.0,Louvain-igraph,Modularity,0.6492895401210304
Dancer 01,random asc,0.0,Louvain-igraph,NMI,0.7757240193366803
Dancer 01,random asc,0.0,Fastgreedy,P,8.0
Dancer 01,random asc,0.0,Fastgreedy,P*/P,0.75
Dancer 01,random asc,0.0,Fastgreedy,Modularity,0.6405248819384323
Dancer 01,random asc,0.0,Fastgreedy,NMI,0.7592452773222022
Dancer 01,random asc,0.0,Infomap,P,99.0
Dancer 01,random asc,0.0,Infomap,P*/P,0.06060606060606061
Dancer 01,random asc,0.0,Infomap,Modularity,0.6063233081896187
Dancer 01,random asc,0.0,Infomap,NMI,0.5559550162352723
Dancer 01,random asc,0.0,Label Propagation,P,6.0
Dancer 01,random asc,0.0,Label Propagation,P*/P,1.0
Dancer 01,random asc,0.0,Label Propagation,Modularity,0.6470714110776082
Dancer 01,random asc,0.0,Label Propagation,NMI,0.8084712425827358
Dancer 01,random asc,0.0,Louvain,P,9.0
Dancer 01,random asc,0.0,Louvain,P*/P,0.6666666666666666
Dancer 01,random asc,0.0,Louvain,Modularity,0.6492546154167232
Dancer 01,random asc,0.0,Louvain,NMI,0.7729025517554831
Dancer 01,random asc,0.1,Louvain-igraph,P,20.0
Dancer 01,random asc,0.1,Louvain-igraph,P*/P,0.3
Dancer 01,random asc,0.1,Louvain-igraph,Modularity,0.6514302751093162
Dancer 01,random asc,0.1,Louvain-igraph,NMI,0.7344886875542128
Dancer 01,random asc,0.1,Fastgreedy,P,20.0
Dancer 01,random asc,0.1,Fastgreedy,P*/P,0.3
Dancer 01,random asc,0.1,Fastgreedy,Modularity,0.6386072094007937
Dancer 01,random asc,0.1,Fastgreedy,NMI,0.6853554949719257
Dancer 01,random asc,0.1,Infomap,P,117.0
Dancer 01,random asc,0.1,Infomap,P*/P,0.05128205128205128
Dancer 01,random asc,0.1,Infomap,Modularity,0.6033433895359297
Dancer 01,random asc,0.1,Infomap,NMI,0.5231628152984564
Dancer 01,random asc,0.1,Label Propagation,P,16.0
