dataset,modification,percentage,method,metric,value
Dancer 01,random asc,0.0,Louvain-igraph,P,8.0
Dancer 01,random asc,0.0,Louvain-igraph,P*/P,0.75
Dancer 01,random asc,0.0,Louvain-igraph,Modularity,0.6489569391094215
Dancer 01,random asc,0.0,Louvain-igraph,NMI,0.7645202639181649
Dancer 01,random asc,0.0,Fastgreedy,P,8.0
Dancer 01,random asc,0.0,Fastgreedy,P*/P,0.75
Dancer 01,random asc,0.0,Fastgreedy,Modularity,0.6405248819384323
Dancer 01,random asc,0.0,Fastgreedy,NMI,0.7592452773222022
Dancer 01,random asc,0.0,Infomap,P,98.0
Dancer 01,random asc,0.0,Infomap,P*/P,0.061224489795918366
Dancer 01,random asc,0.0,Infomap,Modularity,0.6046514402212069
Dancer 01,random asc,0.0,Infomap,NMI,0.5578982316785559
Dancer 01,random asc,0.0,Label Propagation,P,6.0
Dancer 01,random asc,0.0,Label Propagation,P*/P,1.0
Dancer 01,random asc,0.0,Label Propagation,Modularity,0.6468051782339913
Dancer 01,random asc,0.0,Label Propagation,NMI,0.7885941107877064
Dancer 01,random asc,0.0,Louvain,P,8.0
Dancer 01,random asc,0.0,Louvain,P*/P,0.75
Dancer 01,random asc,0.0,Louvain,Modularity,0.6492869399884563
Dancer 01,random asc,0.0,Louvain,NMI,0.777686058292869
Dancer 01,random asc,0.1,Louvain-igraph,P,22.0
Dancer 01,random asc,0.1,Louvain-igraph,P*/P,0.2727272727272727
Dancer 01,random asc,0.1,Louvain-igraph,Modularity,0.6504319299515786
Dancer 01,random asc,0.1,Louvain-igraph,NMI,0.7301468201903487
Dancer 01,random asc,0.1,Fastgreedy,P,19.0
Dancer 01,random asc,0.1,Fastgreedy,P*/P,0.3157894736842105
Dancer 01,random asc,0.1,Fastgreedy,Modularity,0.6422660028646061
Dancer 01,random asc,0.1,Fastgreedy,NMI,0.7164646529803582
Dancer 01,random asc,0.1,Infomap,P,107.0
Dancer 01,random asc,0.1,Infomap,P*/P,0.056074766355140186
Dancer 01,random asc,0.1,Infomap,Modularity,0.6062862767081173
Dancer 01,random asc,0.1,Infomap,NMI,0.539444762998291
Dancer 01,random asc,0.1,Label Propagation,P,17.0
Dancer 01,random asc,0.1,Label Propagation,P*/P,0.35294117647058826
Dancer 01,random asc,0.1,Label Propagation,Modularity,0.6475728788233415
Dancer 01,random asc,0.1,Label Propagation,NMI,0.7455182848824617
Dancer 01,random asc,0.1,Louvain,P,21.0
Dancer 01,random asc,0.1,Louvain,P*/P,0.2857142857142857
Dancer 01,random asc,0.1,Louvain,Modularity,0.6504257885855202
Dancer 01,random asc,0.1,Louvain,NMI,0.7228616555979814
Dancer 01,random asc,0.2,Louvain-igraph,P,35.0
Dancer 01,random asc,0.2,Louvain-igraph,P*/P,0.17142857142857143
Dancer 01,random asc,0.2,Louvain-igraph,Modularity,0.6559509396214772
Dancer 01,random asc,0.2,Louvain-igraph,NMI,0.6912864479873535
Dancer 01,random asc,0.2,Fastgreedy,P,34.0
Dancer 01,random asc,0.2,Fastgreedy,P*/P,0.17647058823529413
Dancer 01,random asc,0.2,Fastgreedy,Modularity,0.6462464518034311
Dancer 01,random asc,0.2,Fastgreedy,NMI,0.6498688679933021
Dancer 01,random asc,0.2,Infomap,P,142.0
Dancer 01,random asc,0.2,Infomap,P*/P,0.04225352112676056
Dancer 01,random asc,0.2,Infomap,Modularity,0.6005126125697942
Dancer 01,random asc,0.2,Infomap,NMI,0.4939301766508057
Dancer 01,random asc,0.2,Label Propagation,P,32.0
Dancer 01,random asc,0.2,Label Propagation,P*/P,0.1875
Dancer 01,random asc,0.2,Label Propagation,Modularity,0.6530790774339408
Dancer 01,random asc,0.2,Label Propagation,NMI,0.7352236096973553
Dancer 01,random asc,0.2,Louvain,P,36.0
Dancer 01,random asc,0.2,Louvain,P*/P,0.16666666666666666
Dancer 01,random asc,0.2,Louvain,Modularity,0.6552167871757334
Dancer 01,random asc,0.2,Louvain,NMI,0.6865018408247846
Dancer 01,random asc,0.30000000000000004,Louvain-igraph,P,56.0
Dancer 01,random asc,0.30000000000000004,Louvain-igraph,P*/P,0.10714285714285714
Dancer 01,random asc,0.30000000000000004,Louvain-igraph,Modularity,0.6620953698680786
Dancer 01,random asc,0.30000000000000004,Louvain-igraph,NMI,0.6389914542188483
Dancer 01,random asc,0.30000000000000004,Fastgreedy,P,55.0
Dancer 01,random asc,0.30000000000000004,Fastgreedy,P*/P,0.10909090909090909
Dancer 01,random asc,0.30000000000000004,Fastgreedy,Modularity,0.6566062813462016
Dancer 01,random asc,0.30000000000000004,Fastgreedy,NMI,0.6493515848726752
Dancer 01,random asc,0.30000000000000004,Infomap,P,161.0
Dancer 01,random asc,0.30000000000000004,Infomap,P*/P,0.037267080745341616
Dancer 01,random asc,0.30000000000000004,Infomap,Modularity,0.5977895900046977
Dancer 01,random asc,0.30000000000000004,Infomap,NMI,0.47251284769065927
Dancer 01,random asc,0.30000000000000004,Label Propagation,P,51.0
Dancer 01,random asc,0.30000000000000004,Label Propagation,P*/P,0.11764705882352941
Dancer 01,random asc,0.30000000000000004,Label Propagation,Modularity,0.6542801741053356
Dancer 01,random asc,0.30000000000000004,Label Propagation,NMI,0.6625676555590887
Dancer 01,random asc,0.30000000000000004,Louvain,P,57.0
Dancer 01,random asc,0.30000000000000004,Louvain,P*/P,0.10526315789473684
Dancer 01,random asc,0.30000000000000004,Louvain,Modularity,0.6616329545690102
Dancer 01,random asc,0.30000000000000004,Louvain,NMI,0.6417094642633634
Dancer 01,random asc,0.4,Louvain-igraph,P,90.0
Dancer 01,random asc,0.4,Louvain-igraph,P*/P,0.06666666666666667
Dancer 01,random asc,0.4,Louvain-igraph,Modularity,0.6738610720888136
Dancer 01,random asc,0.4,Louvain-igraph,NMI,0.5924498103451323
Dancer 01,random asc,0.4,Fastgreedy,P,95.0
Dancer 01,random asc,0.4,Fastgreedy,P*/P,0.06315789473684211
Dancer 01,random asc,0.4,Fastgreedy,Modularity,0.6575175180458971
Dancer 01,random asc,0.4,Fastgreedy,NMI,0.5591523292386202
Dancer 01,random asc,0.4,Infomap,P,205.0
Dancer 01,random asc,0.4,Infomap,P*/P,0.02926829268292683
Dancer 01,random asc,0.4,Infomap,Modularity,0.5959494894843755
Dancer 01,random asc,0.4,Infomap,NMI,0.4360052038052306
Dancer 01,random asc,0.4,Label Propagation,P,82.0
Dancer 01,random asc,0.4,Label Propagation,P*/P,0.07317073170731707
Dancer 01,random asc,0.4,Label Propagation,Modularity,0.6668062751853778
Dancer 01,random asc,0.4,Label Propagation,NMI,0.6269481871726834
Dancer 01,random asc,0.4,Louvain,P,90.0
Dancer 01,random asc,0.4,Louvain,P*/P,0.06666666666666667
Dancer 01,random asc,0.4,Louvain,Modularity,0.6740164761405477
Dancer 01,random asc,0.4,Louvain,NMI,0.5938067248099943
Dancer 01,random asc,0.5,Louvain-igraph,P,174.0
Dancer 01,random asc,0.5,Louvain-igraph,P*/P,0.034482758620689655
Dancer 01,random asc,0.5,Louvain-igraph,Modularity,0.674727077645867
Dancer 01,random asc,0.5,Louvain-igraph,NMI,0.5408492623745031
Dancer 01,random asc,0.5,Fastgreedy,P,176.0
Dancer 01,random asc,0.5,Fastgreedy,P*/P,0.03409090909090909
Dancer 01,random asc,0.5,Fastgreedy,Modularity,0.6769120528393928
Dancer 01,random asc,0.5,Fastgreedy,NMI,0.5543143326889399
